PSMILES,labels.Exp_Tg(K),meta.reliability
[*]CC([*])OC(=O)c1cccc([Si](C)(C)C)c1,353.15,black
[*]CC([*])OC(=O)c1ccccc1,343.55,black
[*]CC([*])OC(=O)c1ccccc1C,315.65,black
[*]CC([*])OC(=O)c1ccccc1Cl,328.9,black
[*]CC([*])OC(=O)c1ccccc1OC,338.15,black
[*]CC([*])OC(=O)c1ccccc1OC(C)=O,332.65,black
[*]CC([*])OC(=O)c1cccnc1,359.65,black
[*]CC([*])OC(=O)c1ccncc1,371.65,black
[*]CC([*])OC(=O)c1nn(C(C)=O)c2ccccc12,423.15,black
[*]CC([*])OC(F)(C(F)(F)F)C(F)(F)F,338.15,black
[*]CC([*])OCC(C)(C)CC,282.15,black
[*]CC([*])OCC(CC)CCCC,207.15,black
[*]CC([*])OCCC,224.0,black
[*]CC([*])OCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,310.15,black
[*]CC([*])OCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(OCC)cc2)cc1,310.15,black
[*]CC([*])OCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,286.15,black
[*]CC([*])OCCOCCOCCOC,197.15,black
[*]CC([*])OCCOc1ccc(/C=C(\C#N)C(=O)OC)cc1,320.15,black
[*]CC([*])OCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,334.15,black
[*]CC([*])OCCOc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,327.15,black
[*]CC([*])OCCOc1ccc(C=C(C#N)C#N)cc1,311.15,black
[*]CC([*])O[N+](=O)[O-],310.65,black
[*]CC([*])P(=O)(N(C)C)N(C)C,298.15,black
[*]CC([*])P(=O)(O)O,361.15,black
[*]CC([*])P(=O)(OCC)N(C)C,305.15,black
[*]CC([*])P(=O)(Oc1ccccc1)N(C)C,300.15,black
[*]CC([*])P(=O)(c1ccccc1)c1ccccc1,400.65,black
[*]CC([*])S(=O)(=O)c1ccccc1,401.15,black
[*]CC([*])SCC,266.15,black
[*]CC([*])SCCCC,253.15,black
[*]CC([*])[Si](C)(C)C,410.15,black
[*]CC([*])[Si](C)(C)Cc1ccccc1,249.15,black
[*]CC([*])c1c(C)cc(C)cc1C,399.15,black
[*]CC([*])c1c(Cl)cccc1Cl,438.15,black
[*]CC([*])c1c(F)c(F)c(C(F)(F)F)c(F)c1F,385.15,black
[*]CC([*])c1c(F)c(F)c(OC)c(F)c1F,367.15,black
[*]CC([*])c1c(F)c(F)c(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(F)c1F,294.15,black
[*]CC([*])c1c(F)c(F)c(OCC(F)(F)C(F)(F)F)c(F)c1F,334.15,black
[*]CC([*])c1c(F)c(F)c(P(=O)(O)O)c(F)c1F,603.15,black
[*]CC([*])c1c([2H])c([2H])c([2H])c([2H])c1[2H],373.15,black
[*]CC([*])c1cc(-c2ccc(C(=O)OC(C)CC)cc2)ccc1-c1ccc(C(=O)OC(C)CC)cc1,485.65,black
[*]CC([*])c1cc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)ccc1-c1ccc(C(=O)OC(C)CCCCCC)cc1,375.15,black
[*]CC([*])c1cc(-c2ccc(C(=O)OC3CC(C)CCC3C(C)C)cc2)ccc1-c1ccc(C(=O)OC2CC(C)CCC2C(C)C)cc1,490.65,black
[*]CC([*])c1cc(Br)ccc1OC,359.15,black
[*]CC([*])c1cc(Br)ccc1OC(C)C,308.15,black
[*]CC([*])c1cc(Br)ccc1OCC,353.15,black
[*]CC([*])c1cc(Br)ccc1OCCC,327.15,black
[*]CC([*])c1cc(Br)ccc1OCCC(C)C,310.15,black
[*]CC([*])c1cc(Br)ccc1OCCCC,320.15,black
[*]CC([*])c1cc(Br)ccc1OCCCCC,322.15,black
[*]CC([*])c1cc(C(=O)OC)ccc1-c1ccc(OCCCCCCCC)cc1,399.15,black
[*]CC([*])c1cc(C(=O)OCC)ccc1-c1ccc(OCCCCCCCC)cc1,368.15,black
[*]CC([*])c1cc(C(=O)OCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,347.15,black
[*]CC([*])c1cc(C(=O)OCCCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,337.15,black
[*]CC([*])c1cc(C(=O)OCCCCCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,330.15,black
[*]CC([*])c1cc(C(=O)OCCCCCCCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,317.15,black
[*]CC([*])c1cc(C(=O)OCCCCCCCCCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,315.15,black
[*]CC([*])c1cc(C(=O)Oc2ccc(OC)cc2)ccc1C(=O)Oc1ccc(OC)cc1,388.15,black
[*]CC([*])c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1C(=O)Oc1ccc(OCCCC)cc1,376.75,black
[*]CC([*])c1cc(C(C)(C)C)ccc1C,360.15,black
[*]CC([*])c1cc(C(F)(F)F)cc(C(F)(F)F)c1,389.15,black
[*]CC([*])c1cc(C)c(C)cc1C,377.15,black
[*]CC([*])c1cc(C)cc(C)c1,385.15,black
[*]CC([*])c1cc(Cl)ccc1Cl,381.15,black
[*]CC([*])c1cc(OC)c(O)c(OC)c1,420.15,black
[*]CC([*])c1cc(OC)c(OC(C)=O)c(OC)c1,420.15,black
[*]CC([*])c1cc[n+](CCCCCCCC)cc1,479.35,black
[*]CC([*])c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2cc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4ccccc4-5)ccc2-3)cc1,351.75,black
[*]CC([*])c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2ccccc2-3)cc1,354.4,black
[*]CC([*])c1ccc(-c2cccc3nsnc23)cc1,423.15,black
[*]CC([*])c1ccc(/C(C)=N/O)cc1,407.15,black
[*]CC([*])c1ccc(/C(Cc2ccccc2)=N/O)cc1,384.15,black
[*]CC([*])c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,357.15,black
[*]CC([*])c1ccc(B(Oc2ccc(-c3c(F)c(F)c(F)c(F)c3F)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,518.15,black
[*]CC([*])c1ccc(B(Oc2ccc(-c3ccc(N(C)C)cc3)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,503.15,black
[*]CC([*])c1ccc(B(Oc2ccc(-c3ccc(OC)cc3)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,493.15,black
[*]CC([*])c1ccc(B(Oc2ccc(B3OC(C)(C)C(C)(C)O3)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,548.15,black
[*]CC([*])c1ccc(B(Oc2ccc(Cl)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,511.15,black
[*]CC([*])c1ccc(B(Oc2cccc3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,513.15,black
[*]CC([*])c1ccc(C#N)cc1,453.15,black
[*]CC([*])c1ccc(C(=O)C(F)(F)F)cc1,368.15,black
[*]CC([*])c1ccc(C(=O)CC)cc1,375.15,black
[*]CC([*])c1ccc(C(=O)CCC)cc1,347.15,black
[*]CC([*])c1ccc(C(=O)CCCC)cc1,343.15,black
[*]CC([*])c1ccc(C(=O)CCCCC)cc1,339.15,black
[*]CC([*])c1ccc(C(=O)CCCCCCC)cc1,323.15,black
[*]CC([*])c1ccc(C(=O)CCN2CCCCC2)cc1,311.15,black
[*]CC([*])c1ccc(C(=O)CCN2CCOCC2)cc1,314.15,black
[*]CC([*])c1ccc(C(=O)Cc2ccccc2)cc1,351.15,black
[*]CC([*])c1ccc(C(=O)N(C)C)cc1,398.15,black
[*]CC([*])c1ccc(C(=O)N(CC)CC)cc1,375.15,black
[*]CC([*])c1ccc(C(=O)N2CCCCC2)cc1,387.15,black
[*]CC([*])c1ccc(C(=O)N2CCOCC2)cc1,400.15,black
[*]CC([*])c1ccc(C(=O)OC(C)C)cc1,368.15,black
[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,363.15,black
[*]CC([*])c1ccc(C(=O)OCC)cc1,367.15,black
[*]CC([*])c1ccc(C(=O)OCCC)cc1,365.15,black
[*]CC([*])c1ccc(C(=O)OCCCC)cc1,349.15,black
[*]CC([*])c1ccc(C(=O)OCCCCCC)cc1,339.15,black
[*]CC([*])c1ccc(C(=O)OCCN(C)C)cc1,364.15,black
[*]CC([*])c1ccc(C(=O)OCCN(CC)CC)cc1,347.15,black
[*]CC([*])c1ccc(C(=O)c2ccc(OC)cc2)cc1,376.15,black
[*]CC([*])c1ccc(C(=O)c2ccccc2)cc1,371.15,black
[*]CC([*])c1ccc(C(C)(C)O)cc1,443.15,black
[*]CC([*])c1ccc(C(C)(O)CC)cc1,463.15,black
[*]CC([*])c1ccc(C(C)(O)CCC)cc1,408.15,black
[*]CC([*])c1ccc(C(C)(O)CCCC)cc1,363.15,black
[*]CC([*])c1ccc(C(C)(O)CCCCC)cc1,373.15,black
[*]CC([*])c1ccc(C(C)=O)cc1,388.65,black
[*]CC([*])c1ccc(C(C)C)cc1,335.55,black
[*]CC([*])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,315.15,black
[*]CC([*])c1ccc(C(O)C(F)(F)F)cc1,383.15,black
[*]CC([*])c1ccc(C(O)CCN(C)C)cc1,316.15,black
[*]CC([*])c1ccc(C(O)CCN2CCCCC2)cc1,327.15,black
[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1,323.15,black
[*]CC([*])c1ccc(C([Si](C)(C)C)[Si](C)(C)C)cc1,429.15,black
[*]CC([*])c1ccc(C([Sn](C)(C)C)[Sn](C)(C)C)cc1,413.15,black
[*]CC([*])c1ccc(C)nc1,409.15,black
[*]CC([*])c1ccc(CC)cc1,344.55,black
[*]CC([*])c1ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,296.15,black
[*]CC([*])c1ccc(CCC)cc1,319.9,black
[*]CC([*])c1ccc(CCCCCC)cc1,246.15,black
[*]CC([*])c1ccc(CCCCCCCC)cc1,228.15,black
[*]CC([*])c1ccc(CCCCCCCCC)cc1,220.15,black
[*]CC([*])c1ccc(CCCCCCCCCC)cc1,208.15,black
[*]CC([*])c1ccc(CCCCCCCCCCCC)cc1,221.15,black
[*]CC([*])c1ccc(CCCCCCCCCCCCCC)cc1,237.15,black
[*]CC([*])c1ccc(CCCCCCCCCCCCCCCC)cc1,277.65,black
[*]CC([*])c1ccc(CCCCCCCCCCCCCCCCCC)cc1,305.15,black
[*]CC([*])c1ccc(CCl)cc1,386.65,black
[*]CC([*])c1ccc(COC(C)CC)cc1,313.15,black
[*]CC([*])c1ccc(COCC(CC)CCCC)cc1,250.15,black
[*]CC([*])c1ccc(COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,296.15,black
[*]CC([*])c1ccc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,328.15,black
[*]CC([*])c1ccc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,291.15,black
[*]CC([*])c1ccc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,286.15,black
[*]CC([*])c1ccc(COCCCC)cc1,283.15,black
[*]CC([*])c1ccc(COCCCCCC)cc1,253.15,black
[*]CC([*])c1ccc(COCCCCO)cc1,293.15,black
[*]CC([*])c1ccc(COCCO)cc1,319.15,black
[*]CC([*])c1ccc(COCCOCC)cc1,273.15,black
[*]CC([*])c1ccc(COCCOCCCC)cc1,235.15,black
[*]CC([*])c1ccc(COCCOCCCCCCCC)cc1,231.15,black
[*]CC([*])c1ccc(COc2ccc(-c3ccc(-c4ccc(-c5ccc(CCCCCC)s5)s4)c4nsnc34)cc2)cc1,395.15,black
[*]CC([*])c1ccc(COc2ccc(-c3ccc(-c4ccc(C)cc4)c4nsnc34)cc2)cc1,390.15,black
[*]CC([*])c1ccc(COc2ccc(-c3ccc(-c4ccc(C)s4)c4nsnc34)cc2)cc1,403.15,black
[*]CC([*])c1ccc(COc2ccc(-c3ccc(C#N)cc3)cc2)cc1,405.15,black
[*]CC([*])c1ccc(C[Si](C)(C)C)cc1,355.15,black
[*]CC([*])c1ccc(Cl)c(C)c1,387.15,black
[*]CC([*])c1ccc(Cl)c(Cl)c1,401.15,black
[*]CC([*])c1ccc(Cl)c([N+](=O)[O-])c1,406.05,black
[*]CC([*])c1ccc(Cl)cc1C,418.15,black
[*]CC([*])c1ccc(Cn2c3ccccc3c3ccccc32)cc1,439.15,black
[*]CC([*])c1ccc(I)cc1,431.15,black
[*]CC([*])c1ccc(N(c2ccccc2)c2ccccc2)cc1,396.65,black
[*]CC([*])c1ccc(O)c(OC)c1,415.15,black
[*]CC([*])c1ccc(OC(C)=O)c(OC)c1,388.15,black
[*]CC([*])c1ccc(OCC)cc1,359.15,black
[*]CC([*])c1ccc(OCCC(C)C)cc1,330.15,black
[*]CC([*])c1ccc(OCCOCCOC(C)=O)cc1,270.15,black
[*]CC([*])c1ccc(OP2(OCCOCCOCCOC)=NP(OCCOCCOCCOC)(OCCOCCOCCOC)=NP(OCCOCCOCCOC)(OCCOCCOCCOC)=N2)cc1,227.15,black
[*]CC([*])c1ccc(Oc2ccccc2)cc1,358.15,black
[*]CC([*])c1ccc(S(=O)(=O)OCCC)cc1,490.15,black
[*]CC([*])c1ccc([SiH](C)C)cc1,378.15,black
[*]CC([*])c1ccc([Si](C)(C)C)cc1,409.15,black
[*]CC([*])c1ccc([Si](C)(C)O)cc1,420.15,black
[*]CC([*])c1ccc([Si](C)(C)OC(C)C)cc1,453.15,black
[*]CC([*])c1ccc([Si](C)(C)O[Si](C)(C)C)cc1,308.65,black
[*]CC([*])c1ccc([Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)cc1,246.15,black
[*]CC([*])c1ccc([Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)cc1,327.15,black
[*]CC([*])c1ccc([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)cc1,387.15,black
[*]CC([*])c1ccc2c(c1)OCO2,411.15,black
[*]CC([*])c1ccc2ccccc2c1,419.65,black
[*]CC([*])c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1,308.15,black
[*]CC([*])c1cccc(Br)c1,375.15,black
[*]CC([*])c1cccc(C)n1,365.15,black
[*]CC([*])c1cccc(Cl)c1,363.15,black
[*]CC([*])c1cccc(F)c1,359.15,black
[*]CC([*])c1cccc(N(c2ccc(C)cc2)c2ccc(C)cc2)c1,399.65,black
[*]CC([*])c1cccc(NC(C)=O)c1,436.15,black
[*]CC([*])c1cccc(O)c1,442.15,black
[*]CC([*])c1cccc(OC(C)=O)c1,349.15,black
[*]CC([*])c1cccc2c1OCO2,392.15,black
[*]CC([*])c1cccc2ccccc12,433.15,black
[*]CC([*])c1ccccc1Br,422.15,black
[*]CC([*])c1ccccc1C,404.15,black
[*]CC([*])c1ccccc1C(=O)N(C)C,463.15,black
[*]CC([*])c1ccccc1C(=O)NC,462.15,black
[*]CC([*])c1ccccc1C(=O)Nc1ccccc1,464.15,black
[*]CC([*])c1ccccc1C(=O)O,450.15,black
[*]CC([*])c1ccccc1C(=O)OC,403.15,black
[*]CC([*])c1ccccc1C(=O)OC(C)C,419.15,black
[*]CC([*])c1ccccc1C(=O)OCC,391.15,black
[*]CC([*])c1ccccc1C(=O)OCC(C)C,400.15,black
[*]CC([*])c1ccccc1C(=O)OCCC,381.15,black
[*]CC([*])c1ccccc1C(=O)OCCC(C)C,341.15,black
[*]CC([*])c1ccccc1C(=O)OCCCC,339.15,black
[*]CC([*])c1ccccc1C(=O)OCCCCC,365.15,black
[*]CC([*])c1ccccc1C(=O)OCCCCCC,318.15,black
[*]CC([*])c1ccccc1C(=O)OCCN(C)C,342.15,black
[*]CC([*])c1ccccc1C(=O)Oc1ccccc1,397.15,black
[*]CC([*])c1ccccc1C(F)(F)F,438.15,black
[*]CC([*])c1ccccc1COC,362.15,black
[*]CC([*])c1ccccc1COC(C)C,361.15,black
[*]CC([*])c1ccccc1COCC,347.15,black
[*]CC([*])c1ccccc1COCCC,370.15,black
[*]CC([*])c1ccccc1COCCC(C)C,351.15,black
[*]CC([*])c1ccccc1COCCCC,340.15,black
[*]CC([*])c1ccccc1COCCCCC,320.15,black
[*]CC([*])c1ccccc1COCCCCCCCC,286.15,black
[*]CC([*])c1ccccc1COCCc1ccccc1,336.15,black
[*]CC([*])c1ccccc1COCc1ccccc1,345.15,black
[*]CC([*])c1ccccc1F,433.65,black
[*]CC([*])c1ccccc1O,445.15,black
[*]CC([*])c1ccccc1OC(C)=O,391.15,black
[*]CC([*])c1cccs1,344.15,black
[*]CC([*])c1nc(C)nc(C)n1,343.15,black
[*]CC([*])c1nnn[nH]1,345.15,black
[*]CC([*])n1c2ccccc2c2c3ccccc3ccc21,564.65,black
[*]CC([*])n1c2ccccc2c2cc3ccccc3cc21,526.15,black
[*]CC([*])n1cc2ccccc2n1,314.65,black
[*]CC([*])n1ccc2ccccc21,292.15,black
[*]CC([*])n1ccnc1,448.15,black
[*]CC([*])n1cncn1,438.15,black
[*]CC(c1ccccc1)C1C(=O)N(C(C)(C)C)C(=O)C1[*],451.15,black
[*]CC(c1ccccc1)C1C(=O)N(C)C(=O)C1[*],478.15,black
[*]CC(c1ccccc1)C1C(=O)N(CCCCCCCCCCCC)C(=O)C1[*],343.15,black
[*]CC(c1ccccc1)C1C(=O)N(CCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C1[*],386.15,black
[*]CC(c1ccccc1)C1C(=O)N(CCCN(CC)c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)c(C)c2)C(=O)C1[*],410.15,black
[*]CC(c1ccccc1)C1C(=O)N(CCCN(CC)c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3Cl)c(C)c2)C(=O)C1[*],422.15,black
[*]CC(c1ccccc1)C1C(=O)N(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C(=O)C1[*],403.15,black
[*]CC(c1ccccc1)C1C(=O)N(CCN(CC)c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)C(=O)C1[*],445.15,black
[*]CC(c1ccccc1)C1C(=O)N(c2ccc(C(C)(C)C)cc2)C(=O)C1[*],510.15,black
[*]CC(c1ccccc1)C1C(=O)N(c2ccc(NC(=O)OCC3CCCN3c3ccc([N+](=O)[O-])cc3)cc2)C(=O)C1[*],481.15,black
[*]CC(c1ccccc1)C1C(=O)N(c2ccc(Oc3ccccc3)cc2)C(=O)C1[*],467.15,black
[*]CC(c1ccccc1)C1C(=O)N(c2ccccc2)C(=O)C1[*],494.15,black
[*]CC/C=C/CCC(=O)OCCCCCCCCCCCCCCCCOC([*])=O,255.15,black
[*]CC/C=C/CCC(=O)OCCCCCCCCCCOC([*])=O,258.15,black
[*]CC1(C)C(=O)OC(=O)C1(C)C([*])OC,533.15,black
[*]CC1(C)C(=O)OC(=O)C1(C)C([*])OCC,517.15,black
[*]CC1(C)C(=O)OC(=O)C1(C)C([*])OCC(C)C,492.15,black
[*]CC1(C)C(=O)OC(=O)C1(C)C([*])OCCCC,470.15,black
[*]CC1(C)CC([*])(C)C(=O)OC1=O,417.15,black
[*]CC1([*])CC(=O)N(c2ccccc2)C1=O,509.15,black
[*]CC1([*])CCCCC1,373.15,black
[*]CC1([*])OCC(c2ccccc2)O1,348.15,black
[*]CC1=CCC(C([*])(C)C)CC1,350.15,black
[*]CC1C(=O)N(C2CCCCC2)C(=O)C1C([*])(C)C,465.15,black
[*]CC1C(=O)N(CCCCCCCCCCCC)C(=O)C1C([*])CCCCCCCCCCCCCCCC,303.15,black
[*]CC1C(=O)N(CCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C1C([*])CCCCCCCCCCCCCCCC,336.15,black
[*]CC1C(=O)N(c2ccc(N(C)C)cc2)C(=O)C1C([*])OC,494.15,black
[*]CC1C(=O)N(c2ccccc2)C(=O)C1C([*])(C)C,461.15,black
[*]CC1C(=O)OC(=O)C1C([*])(C)C,414.15,black
[*]CC1C(=O)OC(=O)C1C([*])(C)N=C=O,373.15,black
[*]CC1C(=O)OC(=O)C1C([*])OC,426.65,black
[*]CC1C(=O)OC(=O)C1C([*])OC(C)C,415.15,black
[*]CC1C(=O)OC(=O)C1C([*])OCC,419.15,black
[*]CC1C(=O)OC(=O)C1C([*])OCC(C)C,418.15,black
[*]CC1C(=O)OC(=O)C1C([*])OCCCC,391.15,black
[*]CC1CC(C[*])C2C3CCC(C3)C12,437.15,black
[*]CC1CC([*])C(=O)OC1=O,413.15,black
[*]CC1CC([*])C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,287.65,black
[*]CC1CC([*])CC1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,303.65,black
[*]CC1CC2CC1C1CCC(Cn3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)C21,538.15,black
[*]CC1CCC(N2C(=O)C3C4C=CC(C5C(=O)N(C6CCC([*])CC6C)C(=O)C45)C3C2=O)C(C)C1,514.15,black
[*]CC1CCC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(C4CCC([*])CC4C)C5=O)cc3C2=O)C(C)C1,533.15,black
[*]CC1CCC(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(C4CCC([*])CC4C)C5=O)cc3C2=O)C(C)C1,513.15,black
[*]CC1CCC(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C4CCC([*])CC4C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)C(C)C1,498.15,black
[*]CC1CCC(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(C4CCC([*])CC4C)C5=O)cc3C2=O)C(C)C1,523.15,black
[*]CC1CCC(NC(=O)CCCCC(=O)NC([*])(C)C)CC1,353.15,black
[*]CC1CCCC(Cn2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)C1,536.15,black
[*]CC1COC(CC(=O)NCCCCCCNC([*])=O)CO1,346.15,black
[*]CC=CCC([*])(C(=O)OC12CC3CC(CC(C3)C1)C2)C(=O)OC12CC3CC(CC(C3)C1)C2,307.15,black
[*]CC=CCC([*])c1ccccc1,287.15,black
[*]CC=CCC[Si]([*])(C)c1ccccc1,258.25,black
[*]CC=CCS([*])(=O)=O,359.15,black
[*]CC=CC[Si]([*])(C)C,215.65,black
[*]CC=CC[Si]([*])(C)CCCOc1ccc(-c2ccccc2)cc1,283.15,black
[*]CC=CC[Si]([*])(C)CCCOc1ccc2ccccc2c1,272.15,black
[*]CC=CC[Si]([*])(C)CCCOc1ccccc1,243.15,black
[*]CC=CC[Si]([*])(C)c1ccccc1,272.15,black
[*]CC=CC[Si]([*])(C=C)C=C,208.15,black
[*]CC=CC[Si]([*])(CCCOc1ccccc1)c1ccccc1,268.15,black
[*]CC=CC[Si]([*])(c1ccccc1)c1ccccc1,308.05,black
[*]CCC#CC#CCCC(=O)OCCN(CCOC([*])=O)c1ccc([N+](=O)[O-])cc1,303.15,black
[*]CCC(=O)NCCCCCCCCCCCCNC(=O)CCP([*])(C)=O,317.15,black
[*]CCC(=O)NCCCCCCCCCCNC(=O)CCP([*])(C)=O,318.65,black
[*]CCC(=O)NCCCCCCCCNC(=O)CCP([*])(C)=O,325.15,black
[*]CCC(=O)NCCCCCCNC(=O)CC([*])C,290.15,black
[*]CCC(=O)NCCCCCCNC(=O)CCC(C)(C)c1ccc(C([*])(C)C)cc1,366.4,black
[*]CCC(=O)NCCCCCCNC(=O)CCP([*])(C)=O,330.65,black
[*]CCC(=O)Nc1ccc(N=Nc2ccc(NC([*])=O)cc2)cc1,493.15,black
[*]CCC(=O)OC1COC2C(OC([*])=O)COC12,350.15,black
[*]CCC(=O)OCC1CCC(COC([*])=O)CC1,272.15,black
[*]CCC(=O)OCCCCCCCCCOC([*])=O,304.15,black
[*]CCC(=O)OCCCCCCOC([*])=O,223.15,black
[*]CCC(=O)OCCCCOC([*])=O,241.15,black
[*]CCC(=O)OCCCOC([*])=O,238.45,black
[*]CCC(=O)OCCOC(=O)c1ccc(C(=O)OCCOC([*])=O)cc1,297.15,black
[*]CCC(=O)OCCOCCOC([*])=O,234.95,black
[*]CCC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)CC([*])C)cc2)cc1,329.15,black
[*]CCC(=O)Oc1ccc(C2(c3ccc(OC([*])=O)cc3)c3ccccc3-c3ccccc32)cc1,507.15,black
[*]CCC(=O)Oc1ccc(CCC(=O)NC(Cc2ccc(OC(=O)CC([*])C)cc2)C(=O)OCc2ccccc2)cc1,328.15,black
[*]CCC(=O)Oc1cccc(OC([*])=O)c1,311.35,black
[*]CCC(C(=O)OC)C([*])C(=O)OC,304.35,black
[*]CCC(C)(C)C([*])(C)C,360.15,black
[*]CCC(C)(C)CCCNC(=O)c1ccc(C(=O)NC([*])C)cc1,423.15,black
[*]CCC(C)C([*])(C)C(=O)OC,318.15,black
[*]CCC(C)C([*])C,247.15,black
[*]CCC(C)CNC(=O)c1cc(C(=O)NCC([*])C)cc(C(C)(C)C)c1,422.15,black
[*]CCC(C)OC(=O)CCCCCCCCC(=O)OC([*])C,207.15,black
[*]CCC(C)O[Si](C)(C)O[Si](C)(C)OC([*])C,190.15,black
[*]CCC(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC([*])C,183.15,black
[*]CCC(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC([*])C,177.15,black
[*]CCC(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC([*])C,167.15,black
[*]CCC(Cl)C([*])Cl,343.15,black
[*]CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](C)(CCC(F)(F)F)O[Si]([*])(C)CCC(F)(F)F,262.15,black
[*]CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](C)(CCC(F)(F)F)O[Si]([*])(C)CCC(F)(F)F,245.15,black
[*]CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](C)(CCC(F)(F)F)O[Si](C)(CCC(F)(F)F)O[Si](C)(CCC(F)(F)F)O[Si]([*])(C)CCC(F)(F)F,230.15,black
[*]CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](C)(CCC(F)(F)F)O[Si]([*])(C)CCC(F)(F)F,249.15,black
[*]CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](C)(CCC(F)(F)F)O[Si]([*])(C)CCC(F)(F)F,248.15,black
[*]CCC(F)(F)C(F)(F)CC[Si](C)(CCC(F)(F)F)O[Si]([*])(C)CCC(F)(F)F,246.15,black
[*]CCC(F)(F)C([*])(F)F,165.15,black
[*]CCC(F)(F)CC[Si](C)(CCC(F)(F)F)O[Si]([*])(C)CCC(F)(F)F,235.15,black
[*]CCC([*])(C)C,261.15,black
[*]CCC([*])(C)c1ccccc1,366.15,black
[*]CCC([*])=O,288.15,black
